debugI9B8YR:debug92ZRQI,pretest_6,51
debugI9B8YR:debug92ZRQI,away_hips_9,51
debugI9B8YR:debug92ZRQI,away_hips_8,51
debugI9B8YR:debug92ZRQI,away_hips_5,51
debugI9B8YR:debug92ZRQI,pretest_12,51
debugI9B8YR:debug92ZRQI,pretest_11,49
debugI9B8YR:debug92ZRQI,pretest_10,51
debugI9B8YR:debug92ZRQI,away_hips_1,51
debugI9B8YR:debug92ZRQI,away_hips_3,51
debugI9B8YR:debug92ZRQI,away_hips_2,51
debugI9B8YR:debug92ZRQI,toward_hips_10,51
debugI9B8YR:debug92ZRQI,toward_hips_11,51
debugI9B8YR:debug92ZRQI,toward_hips_12,51
debugI9B8YR:debug92ZRQI,toward_hips_13,51
debugI9B8YR:debug92ZRQI,toward_hips_14,50
debugI9B8YR:debug92ZRQI,toward_hips_15,52
debugI9B8YR:debug92ZRQI,away_shrug_15,50
debugI9B8YR:debug92ZRQI,away_shrug_14,51
debugI9B8YR:debug92ZRQI,pretest_2,51
debugI9B8YR:debug92ZRQI,check,2
debugI9B8YR:debug92ZRQI,pretest_4,50
debugI9B8YR:debug92ZRQI,away_shrug_7,51
debugI9B8YR:debug92ZRQI,pretest_5,51
debugI9B8YR:debug92ZRQI,away_shrug_6,51
debugI9B8YR:debug92ZRQI,toward_hips_3,51
debugI9B8YR:debug92ZRQI,toward_hips_4,51
debugI9B8YR:debug92ZRQI,away_shrug_13,51
debugI9B8YR:debug92ZRQI,toward_hips_6,52
debugI9B8YR:debug92ZRQI,toward_hips_7,50
debugI9B8YR:debug92ZRQI,away_shrug_5,51
debugI9B8YR:debug92ZRQI,away_shrug_4,51
debugI9B8YR:debug92ZRQI,away_shrug_3,50
debugI9B8YR:debug92ZRQI,away_shrug_2,51
debugI9B8YR:debug92ZRQI,away_shrug_1,51
debugI9B8YR:debug92ZRQI,away_hips_4,51
debugI9B8YR:debug92ZRQI,toward_hips_2,51
debugI9B8YR:debug92ZRQI,pretest_3,51
debugI9B8YR:debug92ZRQI,away_hips_7,51
debugI9B8YR:debug92ZRQI,toward_hips_8,51
debugI9B8YR:debug92ZRQI,toward_hips_9,51
debugI9B8YR:debug92ZRQI,toward_hips_5,51
debugI9B8YR:debug92ZRQI,away_hips_6,51
debugI9B8YR:debug92ZRQI,away_hips_15,51
debugI9B8YR:debug92ZRQI,toward_hips_1,52
debugI9B8YR:debug92ZRQI,toward_shrug_6,51
debugI9B8YR:debug92ZRQI,toward_shrug_7,51
debugI9B8YR:debug92ZRQI,toward_shrug_4,51
debugI9B8YR:debug92ZRQI,toward_shrug_5,51
debugI9B8YR:debug92ZRQI,toward_shrug_2,51
debugI9B8YR:debug92ZRQI,toward_shrug_3,51
debugI9B8YR:debug92ZRQI,toward_shrug_1,51
debugI9B8YR:debug92ZRQI,away_shrug_9,51
debugI9B8YR:debug92ZRQI,toward_shrug_8,51
debugI9B8YR:debug92ZRQI,toward_shrug_9,51
debugI9B8YR:debug92ZRQI,condition,0
debugI9B8YR:debug92ZRQI,pretest_8,51
debugI9B8YR:debug92ZRQI,pretest_7,52
debugI9B8YR:debug92ZRQI,away_shrug_12,51
debugI9B8YR:debug92ZRQI,away_hips_11,51
debugI9B8YR:debug92ZRQI,gender,male
debugI9B8YR:debug92ZRQI,away_hips_13,50
debugI9B8YR:debug92ZRQI,away_hips_12,50
